Date,Open,High,Low,Close,Volume
20230608  09:15:00,618.9,625.75,618.45,621.85,1065900
20230608  09:30:00,622.2,623.45,620.3,620.8,971850
20230608  10:00:00,620.75,621.55,617.7,618.25,696825
20230608  10:30:00,618.2,618.2,613.15,613.95,960450
20230608  11:00:00,613.9,615.35,612.2,612.45,788025
20230608  11:30:00,612.5,613.9,608.15,609.1,890625
20230608  12:00:00,609.1,609.15,605.8,606.1,956175
20230608  12:30:00,606,608.45,605.75,608.45,605625
20230608  13:00:00,608.45,610.55,607.65,608.55,550050
20230608  13:30:00,608.55,615.65,608.05,613.7,826500
20230608  14:00:00,613.85,613.95,609.15,610.75,695400
20230608  14:30:00,610.8,611.1,607.05,608.6,490200
20230608  15:00:00,608.45,610.65,607.65,610.15,917700
20230609  09:15:00,614,614.4,610.15,611.85,621300
20230609  09:30:00,611.75,613.8,609.85,612.6,622725
20230609  10:00:00,612.65,614.85,611.85,611.85,470250
20230609  10:30:00,611.9,612.1,609.6,609.9,265050
20230609  11:00:00,610.05,612.6,609.35,612.4,250800
20230609  11:30:00,612.05,612.4,611.3,612.35,175275
20230609  12:00:00,612.3,613.4,611.7,612.75,263625
20230609  12:30:00,612.6,613,609.85,609.85,262200
20230609  13:00:00,609.9,610.3,608.4,608.45,296400
20230609  13:30:00,608.45,609.95,607.9,609,400425
20230609  14:00:00,609,609.25,607.1,607.7,250800
20230609  14:30:00,608.1,610.45,607.5,609.35,263625
20230609  15:00:00,609.5,611.25,608.7,610.6,715350
20230612  09:15:00,614.15,617,611.6,612.9,592800
20230612  09:30:00,612.85,614.45,611.1,611.45,404700
20230612  10:00:00,611.55,612.7,610.4,612.05,262200
20230612  10:30:00,611.8,612.1,610.5,611.25,145350
20230612  11:00:00,611.35,611.6,608.8,608.8,212325
20230612  11:30:00,609,611.8,608.65,611.75,189525
20230612  12:00:00,611.45,611.8,610.25,610.55,122550
20230612  12:30:00,610.7,611.8,610.6,611.55,105450
20230612  13:00:00,611.7,614,611.7,613.2,293550
20230612  13:30:00,613.25,613.7,611.65,612.3,151050
20230612  14:00:00,612.7,612.7,610.8,611.8,188100
20230612  14:30:00,611.8,615.25,611.8,615.1,351975
20230612  15:00:00,615.15,616.45,611.4,612.4,1246875
20230613  09:15:00,615.8,616.35,611.6,615.45,723900
20230613  09:30:00,615.3,620.5,614.2,617.3,981825
20230613  10:00:00,617.2,617.65,613.55,616,555750
20230613  10:30:00,615.85,616,614.7,615.15,243675
20230613  11:00:00,615.45,615.9,614.25,614.5,239400
20230613  11:30:00,614.7,615.1,610.7,612.4,628425
20230613  12:00:00,612.2,612.35,610.7,611.6,360525
20230613  12:30:00,611.65,611.8,609.25,609.7,448875
20230613  13:00:00,609.3,610.05,608.65,609.45,329175
20230613  13:30:00,609.5,612.1,609.15,610.45,347700
20230613  14:00:00,610.4,612.7,610.4,611.35,366225
20230613  14:30:00,611.45,611.8,610.15,610.9,320625
20230613  15:00:00,610.9,611.35,609.4,610.4,770925
20230614  09:15:00,613.65,613.95,612.05,613.1,453150
20230614  09:30:00,613,615.75,612.25,614,522975
20230614  10:00:00,613.95,616,613.35,615,249375
20230614  10:30:00,615.05,615.3,614.55,614.6,126825
20230614  11:00:00,614.7,615.35,613.5,615.05,178125
20230614  11:30:00,614.9,617.6,614.55,615.8,250800
20230614  12:00:00,615.65,616.85,614.7,615.15,163875
20230614  12:30:00,615.15,616.3,615,615,112575
20230614  13:00:00,614.9,615.55,613.8,615.35,115425
20230614  13:30:00,615.35,616.3,615.1,616.3,138225
20230614  14:00:00,616.3,619.75,616.15,617.95,552900
20230614  14:30:00,617.95,619.55,617.85,618.1,279300
20230614  15:00:00,618.2,619.3,618.1,618.15,929100
20230615  09:15:00,619.25,619.3,615.9,617.2,283575
20230615  09:30:00,617.3,621.5,616.95,619.5,631275
20230615  10:00:00,619.65,621.9,619.4,621,376200
20230615  10:30:00,621.2,622.4,620.8,621.7,344850
20230615  11:00:00,621.8,623.65,619.95,620.1,568575
20230615  11:30:00,620.25,620.8,618.85,619.25,408975
20230615  12:00:00,619.4,620.6,618.85,619.65,333450
20230615  12:30:00,619.75,620.1,618.75,619.7,276450
20230615  13:00:00,620.05,620.15,617.2,618.95,332025
20230615  13:30:00,619.1,620.05,618.5,619.55,381900
20230615  14:00:00,619.55,620.15,618,618.2,423225
20230615  14:30:00,618.3,618.3,615.7,616.8,636975
20230615  15:00:00,617.1,617.2,615.5,616.15,712500
20230616  09:15:00,617.25,620.05,617.25,618.8,386175
20230616  09:30:00,619.2,619.9,617.05,617.55,206625
20230616  10:00:00,618.25,618.3,615.6,617.95,136800
20230616  10:30:00,617.95,617.95,616,616.35,126825
20230616  11:00:00,616.1,618.1,615.6,616.1,222300
20230616  11:30:00,616.15,616.65,615.35,615.95,136800
20230616  12:00:00,615.9,616.75,615.15,615.7,95475
20230616  12:30:00,615.6,616.15,615.05,615.6,108300
20230616  13:00:00,615.75,616.45,615.15,615.6,81225
20230616  13:30:00,615.5,616.35,615.5,616.25,81225
20230616  14:00:00,616.6,619.6,616.6,618,292125
20230616  14:30:00,618.2,619.4,617.95,618.65,178125
20230616  15:00:00,618.45,619.7,617.8,619.25,511575
20230619  09:15:00,619.95,621.75,617.45,619.6,456000
20230619  09:30:00,619.65,620.3,617.7,619.5,356250
20230619  10:00:00,619.75,619.75,616.6,617.75,250800
20230619  10:30:00,617.75,618.75,617,618.75,173850
20230619  11:00:00,618.8,618.85,615.25,616.8,302100
20230619  11:30:00,616.85,619.55,615.3,617.65,246525
20230619  12:00:00,617.7,618.5,616.75,617.9,210900
20230619  12:30:00,617.85,618.4,616.55,616.85,178125
20230619  13:00:00,617.1,617.2,612.35,613.3,551475
20230619  13:30:00,613.4,614.8,611.7,614.4,440325
20230619  14:00:00,614.25,614.85,613,613.95,162450
20230619  14:30:00,614.15,615.7,613.6,615.25,266475
20230619  15:00:00,615.25,615.35,613.55,615.2,317775
20230620  09:15:00,613.7,614.8,609.65,611.2,465975
20230620  09:30:00,611.05,613.75,610.5,613.4,371925
20230620  10:00:00,613.4,614.95,612.1,612.3,333450
20230620  10:30:00,612.3,612.5,611.15,612.25,293550
20230620  11:00:00,611.8,613.4,611.65,612.6,156750
20230620  11:30:00,612.6,613.3,612.05,612.4,138225
20230620  12:00:00,612.4,629.6,612.4,627.45,1328100
20230620  12:30:00,627.5,633.15,627.3,631.05,1581750
20230620  13:00:00,631.25,633.15,630.2,632.75,699675
20230620  13:30:00,632.7,633.45,629.45,629.6,609900
20230620  14:00:00,629.7,630.5,626.25,628.9,729600
20230620  14:30:00,629.5,633.3,627.95,632.55,698250
20230620  15:00:00,632.7,633.4,630.95,633.3,1340925
20230621  09:15:00,634,634.55,630.6,631.05,638400
20230621  09:30:00,631.15,632,628.75,629.05,742425
20230621  10:00:00,629.05,630.55,627.05,627.6,567150
20230621  10:30:00,627.7,628.05,625.1,625.3,501600
20230621  11:00:00,625.25,625.75,622.85,624.35,766650
20230621  11:30:00,624.6,627.4,624.15,626.35,381900
20230621  12:00:00,626.15,627.5,625.7,627.25,215175
20230621  12:30:00,627.1,629.85,626.95,629.65,381900
20230621  13:00:00,629.3,631.2,628.6,630.55,421800
20230621  13:30:00,630.75,633.25,629.55,630.35,475950
20230621  14:00:00,630.65,631.05,629.35,630.2,235125
20230621  14:30:00,630.3,630.35,628.05,629.4,376200
20230621  15:00:00,629.4,630.3,629.4,629.7,273600
20230622  09:15:00,632.5,632.8,629.55,630.55,457425
20230622  09:30:00,630.2,631.4,628.65,628.65,374775
20230622  10:00:00,628.85,631.85,627.75,630.05,347700
20230622  10:30:00,630.25,630.5,629.45,629.45,151050
20230622  11:00:00,629.25,630.4,626.85,627,303525
20230622  11:30:00,626.9,628.3,626.3,626.95,237975
20230622  12:00:00,626.95,627.3,620.4,622.95,721050
20230622  12:30:00,622.75,623.15,620.45,620.7,312075
20230622  13:00:00,620.8,621.85,618.4,621.15,428925
20230622  13:30:00,621.05,624.3,621.05,622.95,347700
20230622  14:00:00,622.8,622.85,617.1,617.45,617025
20230622  14:30:00,617.6,619.75,616.85,618.6,483075
20230622  15:00:00,618.6,618.8,616.85,618.5,686850
20230623  09:15:00,616.35,616.85,611.05,611.35,289275
20230623  09:30:00,611.35,612.3,605.9,610.25,611325
20230623  10:00:00,610.2,610.6,607.3,609.6,206625
20230623  10:30:00,609.65,610.9,607.6,608.05,142500
20230623  11:00:00,608.05,608.1,606.2,607.15,166725
20230623  11:30:00,607.25,608.5,607.25,607.5,89775
20230623  12:00:00,607.65,607.85,605.3,606.3,116850
20230623  12:30:00,606.3,607.75,605.85,607.15,156750
20230623  13:00:00,606.9,606.9,604.55,604.85,173850
20230623  13:30:00,605.1,607.5,604.5,607.25,182400
20230623  14:00:00,607.05,607.25,604.5,605.55,166725
