MyUnknownColumn,Date,Open,High,Low,Close,Volume
0,"20220224  09:15:00",821.45,831.55,817.7,826.8,68000
1,"20220224  09:30:00",824.25,833.9,813.1,833.7,114750
2,"20220224  10:30:00",832.7,835.6,819.5,821.65,98600
3,"20220224  11:30:00",820.7,822.25,814.3,819.65,67150
4,"20220224  12:30:00",818.5,819.1,807.65,811.6,90950
5,"20220224  13:30:00",809.5,815.95,800.25,801.45,157250
6,"20220224  14:30:00",800.5,803.75,793.3,798.05,232050
7,"20220225  09:15:00",812.2,837.75,812.2,837.75,81600
8,"20220225  09:30:00",837.25,848.2,835.65,847.95,164900
9,"20220225  10:30:00",847.25,852.75,845.65,851.1,111350
10,"20220225  11:30:00",851.7,857.3,848.6,853.75,101150
11,"20220225  12:30:00",853.8,856.65,849.1,852.3,93500
12,"20220225  13:30:00",853.5,859.2,850.35,858.35,102000
13,"20220225  14:30:00",857.8,863.65,853.45,858.5,218450
14,"20220228  09:15:00",853.75,855.55,842.65,845.7,64600
15,"20220228  09:30:00",846.05,851.9,845.1,849.15,81600
16,"20220228  10:30:00",850.2,857.55,850.2,856.25,62900
17,"20220228  11:30:00",857.1,857.1,850.2,852.85,45900
18,"20220228  12:30:00",852.6,854.9,847.7,851.05,42500
19,"20220228  13:30:00",850.85,853.2,846,851.5,51850
20,"20220228  14:30:00",850.7,858.1,849.65,855.6,105400
21,"20220302  09:15:00",849.05,851,838.9,848.2,49300
22,"20220302  09:30:00",847.25,852.85,843.05,845.15,67150
23,"20220302  10:30:00",844.6,850.95,844.6,850.95,30600
24,"20220302  11:30:00",850.9,850.95,836.4,837.45,91800
25,"20220302  12:30:00",837.2,840.7,835.4,839.15,68000
26,"20220302  13:30:00",839.25,839.45,828.1,829.25,67150
27,"20220302  14:30:00",829.25,838.6,829.25,837.65,165750
28,"20220303  09:15:00",844.8,845.15,834.35,835.1,54400
29,"20220303  09:30:00",835.25,837.05,825.1,826.05,126650
30,"20220303  10:30:00",825.5,827.85,821.6,824.4,68850
31,"20220303  11:30:00",824.2,824.8,815.95,816.7,91800
32,"20220303  12:30:00",816.1,816.7,808.3,809.9,92650
33,"20220303  13:30:00",809.1,813.8,807.95,810.25,75650
34,"20220303  14:30:00",810.85,820.3,810.2,814.95,221850
35,"20220304  09:15:00",806.65,807.6,800.65,800.65,59500
36,"20220304  09:30:00",801.5,804.2,785.9,788.05,152150
37,"20220304  10:30:00",788.2,791.6,783.3,791.1,111350
38,"20220304  11:30:00",791.6,793.35,782.75,783.6,130050
39,"20220304  12:30:00",782.9,792.25,780.85,791,161500
40,"20220304  13:30:00",791.15,792.3,772.35,775.65,147900
41,"20220304  14:30:00",776.3,778.45,762.35,763.3,198900
42,"20220307  09:15:00",752.35,752.35,739.35,746.3,94350
43,"20220307  09:30:00",746.25,746.95,733.75,735.8,141950
44,"20220307  10:30:00",735.2,756.3,733.6,752.05,121550
45,"20220307  11:30:00",751.4,752.2,739.5,741.8,65450
46,"20220307  12:30:00",742.85,745.75,736.1,736.1,32300
47,"20220307  13:30:00",737.55,740.45,728.7,734.3,76500
48,"20220307  14:30:00",734.65,750.35,734.65,750.35,124950
49,"20220308  09:15:00",744.95,747.4,741.15,742.8,38250
50,"20220308  09:30:00",741.5,751.3,737.45,747.65,121550
51,"20220308  10:30:00",748.65,753.5,742.05,744.45,65450
52,"20220308  11:30:00",744.7,744.7,739,743.75,49300
53,"20220308  12:30:00",742.5,743.2,731.9,734.65,36550
54,"20220308  13:30:00",735.5,747.6,735.4,745.9,57800
55,"20220308  14:30:00",746.2,761.4,745.8,760.3,161500
56,"20220309  09:15:00",759.35,761.35,754.05,757.6,51850
57,"20220309  09:30:00",757.75,759.05,751.85,756.4,90950
58,"20220309  10:30:00",754.65,760.05,751.75,753.2,63750
59,"20220309  11:30:00",753.45,765.75,752.35,764.75,79050
60,"20220309  12:30:00",763.75,765.15,759.6,760.5,62050
61,"20220309  13:30:00",760.5,776.2,760.3,771.35,135150
62,"20220309  14:30:00",771.15,774.6,766.65,768.85,185300
63,"20220310  09:15:00",795.6,795.6,778.2,792.05,96900
64,"20220310  09:30:00",792.05,792.05,786.2,788.6,126650
65,"20220310  10:30:00",789.1,797.5,785.35,791.95,126650
66,"20220310  11:30:00",793.25,797,788.95,790.35,74800
67,"20220310  12:30:00",790.5,790.5,780.35,781,84150
68,"20220310  13:30:00",781.75,782.15,762.85,767.45,219300
69,"20220310  14:30:00",767.55,772.1,759.6,759.6,105400
70,"20220311  09:15:00",758.65,773.45,757.85,773.45,48450
71,"20220311  09:30:00",773.7,781.45,768,770.9,117300
72,"20220311  10:30:00",769.8,776.7,768.35,775.35,78200
73,"20220311  11:30:00",777.75,780.85,775.6,776.35,41650
74,"20220311  12:30:00",776.75,780.35,772.55,774.5,69700
75,"20220311  13:30:00",774.8,777.55,772.5,776.35,82450
76,"20220311  14:30:00",776.3,786.25,774.1,783.5,163200
77,"20220314  09:15:00",784.6,786.25,779.05,779.15,25500
78,"20220314  09:30:00",778.05,780.15,772.95,775.75,56950
79,"20220314  10:30:00",775.05,777.9,773.7,777.9,27200
